Username,GivenName,Surname,Email,Password,Department,JobTitle
valentio.thompson,Valentino,Thompson,valentio.thompson@placebo-pharma.com,magic42,R&D,Project Manager
josefina.renaud,Josefina,Renaud,josefina.renaud@placebo-pharma.com,riffraff,IT,System Administrator
evie.li,Evie,Li,evie.li@placebo-pharma.com,piKQei3h,IT,Network Administrator
nanna.andersen,Nanna,Andersen,nanna.andersen@placebo-pharma.com,lkjhgfds,IT,Support
malthe.jorgensen,Malthe,Jorgensen,malthe.jorgensen@placebo-pharma.com,102030,Finance,Accounting
kin.fitzpatrick,Kin,Fitzpatrick,kin.fitzpatrick@placebo-pharma.com,FLU2zv3uduRcZvQ,Sales,Sales Representative
eliab.jesus,Eliab,Jesus,eliab.jesus@placebo-pharma.com,greg,Sales,Sales Representative
arttu.harju,Arttu,Harju,arttu.harju@placebo-pharma.com,helmet,Sales,Sales Representative
oktaviya.lagno,Oktaviya,Lagno,oktaviya.lagno@placebo-pharma.com,seamus,Marketing,Marketing
alejandro.aguilar,Alejandro,Aguilar,alejandro.aguilar@placebo-pharma.com,grace,IT,System Administrator
emilie.moller,Emilie,Moller,emilie.moller@placebo-pharma.com,xavier,R&D,Clinical Research Associate
beatrice.morin,Beatrice,Morin,beatrice.morin@placebo-pharma.com,pepsi,R&D,Laboratory Technician
kasper.haataja,Kasper,Haataja,kasper.haataja@placebo-pharma.com,qwert1,R&D,Data Scientist
