id,parentId,name,lastName,email,department,position,image
1,2,Philip,Thompson,philip.thompson@placebo-pharma.com,Executive,COO,https://bumbeishvili.github.io/avatars/avatars/portrait12.png
2,,Evelyn,Turner,evelyn.turner@placebo-pharma.com,Executive,CEO,https://bumbeishvili.github.io/avatars/avatars/portrait85.png
3,2,Eduard,Meunier,eduard.meunier@placebo-pharma.com,Executive,CFO,https://bumbeishvili.github.io/avatars/avatars/portrait16.png
4,2,Malou,Poulsen,malou.poulsen@placebo-pharma.com,Executive,CTO,https://bumbeishvili.github.io/avatars/avatars/portrait17.png
5,2,Kleopatra,Dzerovich,kleopatra.dzerovich@placebo-pharma.com,Executive,CCO,https://bumbeishvili.github.io/avatars/avatars/portrait18.png
56,2,Stephan,Mathieu,stephan.mathieu@placebo-pharma.com,Executive,CISO,https://bumbeishvili.github.io/avatars/avatars/portrait56.png
6,4,Frederick,Pena,frederick.pena@placebo-pharma.com,R&D,Manager,https://bumbeishvili.github.io/avatars/avatars/portrait19.png
7,6,Aubin,Clement,aubin.clement@placebo-pharma.com,R&D,Data Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait86.png
8,6,Amanda,Dean,amanda.dean@placebo-pharma.com,R&D,Data Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait89.png
63,6,Marie,Jorgensen,marie.jorgensen@placebo-pharma.com,R&D,Data Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait6.png
60,6,Guadalupe,Carrera,guadalupe.carrera@placebo-pharma.com,R&D,Data Scientist Intern,https://bumbeishvili.github.io/avatars/avatars/portrait86.png
10,4,Simona,Rolland,simona.rolland@placebo-pharma.com,R&D,Project Manager,https://bumbeishvili.github.io/avatars/avatars/portrait20.png
11,10,Draga,Nenezic,draga.nenezic@placebo-pharma.com,R&D,Biomedical Engineer,https://bumbeishvili.github.io/avatars/avatars/portrait21.png
12,10,Dona,Gugale,dona.gugale@placebo-pharma.com,R&D,Biomedical Engineer,https://bumbeishvili.github.io/avatars/avatars/portrait22.png
13,10,Carter,Singh,carter.singh@placebo-pharma.com,R&D,Laboratory Technician,https://bumbeishvili.github.io/avatars/avatars/portrait23.png
15,10,Nicklas,Jorgensen,nicklas.jorgensen@placebo-pharma.com,R&D,Laboratory Technician,https://bumbeishvili.github.io/avatars/avatars/portrait24.png
16,10,Theo,Taylor,theo.taylor@placebo-pharma.com,R&D,Biostatistician,https://bumbeishvili.github.io/avatars/avatars/portrait26.png
17,4,Byron,Alexander,byron.alexander@placebo-pharma.com,R&D,Project Manager,https://bumbeishvili.github.io/avatars/avatars/portrait2.png
18,17,Burim,Garnier,burim.garnier@placebo-pharma.com,R&D,Research Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait25.png
19,17,Vildan,Sandalci,vildan.sandalci@placebo-pharma.com,R&D,Research Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait27.png
20,17,Rose,Harris,rose.harris@placebo-pharma.com,R&D,Research Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait3.png
59,17,Kerim,Ozkara,kerim.ozkara@placebo-pharma.com,R&D,Research Scientist,https://bumbeishvili.github.io/avatars/avatars/portrait85.png
21,17,Daniel,Leroux,daniel.leroux@placebo-pharma.com,R&D,Clinical Research Associate,https://bumbeishvili.github.io/avatars/avatars/portrait28.png
22,17,Mary,Woods,mary.woods@placebo-pharma.com,R&D,Clinical Research Associate,https://bumbeishvili.github.io/avatars/avatars/portrait33.png
58,17,Valentin,Pascual,valentin.pascual@placebo-pharma.com,R&D,Clinical Research Associate Intern,https://bumbeishvili.github.io/avatars/avatars/portrait85.png
24,4,Romain,Bourgeois,romain.bourgeois@placebo-pharma.com,IT,IT Manager,https://bumbeishvili.github.io/avatars/avatars/portrait4.png
25,24,Ariadna,Pasko,ariadna.pasko@placebo-pharma.com,IT,Database Engineer,https://bumbeishvili.github.io/avatars/avatars/portrait39.png
26,24,Benjamin,White,benjamin.white@placebo-pharma.com,IT,Network Administrator,https://bumbeishvili.github.io/avatars/avatars/portrait5.png
27,24,Kubra,Yildizoglu,kubra.yildizoglu@placebo-pharma.com,IT,Network Administrator,https://bumbeishvili.github.io/avatars/avatars/portrait10.png
28,24,Marcel,Brunet,marcel.brunet@placebo-pharma.com,IT,System Administrator,https://bumbeishvili.github.io/avatars/avatars/portrait41.png
29,24,Gary,Reynolds,gary.reynolds@placebo-pharma.com,IT,System Administrator,https://bumbeishvili.github.io/avatars/avatars/portrait48.png
32,24,Georgina,Gonzales,georgina.gonzales@placebo-pharma.com,IT,System Administrator,https://bumbeishvili.github.io/avatars/avatars/portrait51.png
55,24,Lilly,Weerheim,lilly.weerheim@placebo-pharma.com,IT,Technical Support Manager,https://bumbeishvili.github.io/avatars/avatars/portrait85.png
31,55,Lakshmi,Suvarna,lakshmi.suvarna@placebo-pharma.com,IT,Support,https://bumbeishvili.github.io/avatars/avatars/portrait50.png
57,55,Allan,Ramella,aramella@rwu.edu,IT,Support Intern,https://www.rwu.edu/sites/default/files/downloads/it/Allan.jpg
33,56,Matthew,Carr,matthew.carr@placebo-pharma.com,IT,Security Engineer,https://bumbeishvili.github.io/avatars/avatars/portrait52.png
34,33,Duilio,da Mota,duilio.damota@placebo-pharma.com,IT,SOC Analyst,https://bumbeishvili.github.io/avatars/avatars/portrait54.png
35,33,Bianca,Armas,bianca.armas@placebo-pharma.com,IT,Operations Security,https://bumbeishvili.github.io/avatars/avatars/portrait56.png
36,5,Lance,Wuite,lance.wuite@placebo-pharma.com,Compliance,Compliance Manager,https://bumbeishvili.github.io/avatars/avatars/portrait13.png
37,36,Emina,Weberg,emina.weberg@placebo-pharma.com,Compliance,Risk Manager,https://bumbeishvili.github.io/avatars/avatars/portrait6.png
38,36,Paige,Cooper,paige.cooper@placebo-pharma.com,Compliance,Auditor,https://bumbeishvili.github.io/avatars/avatars/portrait57.png
